FullName,Gender,Dob,Email,Phone,CCCD,Password,BadgeNumber
"Bùi Gia Bảo",Nam,07/12/1997,giabao68@gmail.com,0321112233,068901234567,giabao68,CA1234
"Bùi Gia Linh",Nam,07/06/2000,gialinh28@gmail.com,0389017788,028901234567,gialinh28,CA1245
"Bùi Khánh Vy",Nữ,05/07/2005,khanhvy48@gmail.com,0789900112,048901234567,khanhvy48,CA1254
"Bùi Minh Thảo",Nam,11/10/2003,minhthao88@gmail.com,0746677889,088901234567,minhthao88,CA7624
"Bùi Thanh Tùng",Nam,27/05/2003,thanhtung08@gmail.com,0391234567,008901234567,thanhtung08,CA6381
"Cao Đức Anh",Nam,25/10/1998,ducanh76@gmail.com,0521113344,076789012345,ducanh76,CA4231
"Cao Gia Hân",Nữ,15/03/2001,giahan96@gmail.com,0835455667,096789012345,giahan96,CA8736
"Cao Ngọc Anh",Nữ,22/11/1998,ngocanh56@gmail.com,0878788990,056789012345,ngocanh56,CA7364
"Cao Quốc Khánh",Nam,10/09/1998,quockhanh16@gmail.com,0945455667,016789012345,quockhanh16,CA8822
"Cao Thanh Trúc",Nữ,01/01/2006,thanhtruc36@gmail.com,0566789012,036789012345,thanhtruc36,CA7612
"Dương Bảo Vy",Nữ,12/01/2006,baovy92@gmail.com,0781011223,092345678901,baovy92,CA5342
"Dương Gia Bảo",Nam,09/08/2001,giabao12@gmail.com,0891011223,012345678901,giabao12,CA9891
"Dương Gia Linh",Nữ,13/10/1999,gialinh52@gmail.com,0834344556,052345678901,gialinh52,CA6641
"Dương Ngọc Hân",Nữ,25/03/2004,ngochan72@gmail.com,0365556677,072345678901,ngochan72,CA1111
"Dương Thị Lan",Nữ,10/08/1998,thilan32@gmail.com,0543452122,032345678901,thilan32,CA2312
"Đặng Khánh Linh",Nữ,14/11/1999,khanhlinh09@gmail.com,0522345678,009012345678,khanhlinh09,CA9241
"Đặng Minh Hoàng",Nam,13/08/1997,minhhoang49@gmail.com,0791011223,049012345678,minhhoang49,CA8124
"Đặng Thanh Bình",Nam,25/02/2003,thanhbinh29@gmail.com,0390128899,029012345678,thanhbinh29,CA7761
"Đặng Thanh Nhàn",Nữ,07/08/2006,thanhnhan89@gmail.com,0757788990,089012345678,thanhnhan89,CA6512
"Đặng Thảo Nguyên",Nữ,28/12/2002,thaonguyen69@gmail.com,0332223344,069012345678,thaonguyen69,CA8881
"Đinh Kim Ngân",Nam,04/08/1995,kimngan38@gmail.com,0588901234,038901234567,kimngan38,
"Đinh Ngọc Hân",Nữ,26/05/1997,ngochan18@gmail.com,0967677889,018901234567,ngochan18,
"Đinh Ngọc Huyền",Nữ,12/12/1996,ngochuyen78@gmail.com,0543335566,078901234567,ngochuyen78,
"Đinh Quốc Bảo",Nam,19/08/2003,quocbao98@gmail.com,0857677889,098901234567,quocbao98,
"Đinh Thu Trang",Nữ,07/06/2000,thutrang58@gmail.com,0890900112,058901234567,thutrang58,
"Đỗ Bảo Trân",Nữ,28/08/2005,baotran66@gmail.com,0988788990,066789012345,baotran66,
"Đỗ Hồng Nhung",Nữ,01/01/2000,hongnhung46@gmail.com,0767788990,046789012345,hongnhung46,
"Đỗ Minh Thư",Nam,09/11/2003,minhthu26@gmail.com,0367895566,026789012345,minhthu26,
"Đỗ Thanh Phong",Nam,22/04/1998,thanhphong86@gmail.com,0724455667,086789012345,thanhphong86,
"Đỗ Tuấn Kiệt",Nam,04/06/1996,tuankiet06@gmail.com,0379012345,006789012345,tuankiet06,
"Hoàng Bảo Ngọc",Nữ,02/01/1995,baongoc20@gmail.com,0989899001,020123456789,baongoc20,
"Hoàng Gia Linh",Nữ,08/07/2002,gialinh80@gmail.com,0565557788,080123456789,gialinh80,
"Hoàng Ngọc Anh",Nữ,25/03/2007,ngocanh100@gmail.com,0879899001,100123456789,ngocanh100,
"Hoàng Phúc",Nam,08/04/2007,hoangphuc40@gmail.com,0701122334,040123456789,hoangphuc40,
"Hoàng Thanh Tâm",Nữ,07/11/2004,thanhtam60@gmail.com,0922122334,060123456789,thanhtam60,
"Hồ Minh Anh",Nữ,26/10/1999,minhanh90@gmail.com,0768899001,090123456789,minhanh90,
"Hồ Minh Nhật",Nam,01/02/1997,minhnhat70@gmail.com,0343334455,070123456789,minhnhat70,
"Hồ Minh Quân",Nam,27/11/2000,minhquan10@gmail.com,0533456789,010123456789,minhquan10,
"Hồ Ngọc Diễm",Nữ,03/01/2000,ngocdiem50@gmail.com,0812122334,050123456789,ngocdiem50,
"Hồ Quỳnh Như",Nữ,16/02/2004,quynhnhu30@gmail.com,0521239900,030123456789,quynhnhu30,
