ComplaintId,CCCD,Title,ContentDetail,Status,SubmittedDate,ReportedLicensePlate,OfficerBadgeNumber
1,68901234567,"Vượt đèn đỏ","Xe Toyota Innova vượt đèn đỏ tại ngã tư Hàng Xanh.","Đã xử lý",05/01/2026,96C-681.02,CA1245
2,28901234567,"Sử dụng điện thoại","Tài xế Mazda CX-8 nhắn tin khi đang lái xe.","Đã xử lý",05/01/2026,56C-281.02,CA7364
3,56789012345,"Nồng độ cồn","Xe Ford Everest có dấu hiệu say xỉn tại phố Xã Đàn.","Đã xử lý",06/01/2026,84C-369.80,CA1234
4,92345678901,"Sai làn đường","VinFast VF 5 chạy vào làn xe máy trên cầu Rồng.","Chưa xử lý",07/01/2026,97C-792.13,-
5,12345678901,"Vượt đèn đỏ (XM)","Xe máy Wave Alpha vượt đèn đỏ vòng xoay Quách Thị Trang.","Đã xử lý",07/01/2026,43D-999.99,CA8124
6,52345678901,"Không mũ bảo hiểm","Người đi xe Future 125 không đội mũ bảo hiểm.","Chưa xử lý",08/01/2026,86C-581.02,-
7,72345678901,"Dùng tai nghe","Tài xế Air Blade đeo tai nghe khi lái xe trên cầu Nhật Tân.","Đã xử lý",08/01/2026,94C-469.80,CA6641
8,32345678901,"Lạng lách","Xe Sirius lạng lách đánh võng trên đường Lê Lợi.","Đã xử lý",09/01/2026,43D-669.80,CA9891
9,9012345678,"Xe không biển số","VinFast Klara S không biển số tại Hồ Gươm.","Đã xử lý",10/01/2026,48C-303.24,CA1111
10,49012345678,"Mở cửa xe nguy hiểm","Xe Mazda mở cửa không quan sát trên đường Đồng Khởi.","Đã xử lý",10/01/2026,71C-836.57,CA2312
11,12345678911,"Ngược chiều","Honda Vision đi ngược chiều đường Nguyễn Văn Linh.","Đã xử lý",11/01/2026,51D-936.57,CA1245
12,12345678912,"Đỗ xe cấm","Toyota Vios đỗ xe nơi có biển cấm tại Hải Phòng.","Chưa xử lý",12/01/2026,59C-736.57,-
