STT,OwnerName,LicensePlate,VehicleModel,LawSequenceNumber,ViolationDetail,ViolationDate,ViolationTime,DemeritPoints,DetailedLocation
1,"Bùi Gia Bảo",96C-681.02,"Toyota Innova",1,"Vượt đèn đỏ",05/01/2026,07:30,4,"Ngã tư Hàng Xanh, Quận Bình Thạnh, TP.HCM"
2,"Bùi Gia Linh",56C-281.02,"Mazda CX-8",8,"Dùng điện thoại khi lái xe",05/01/2026,09:15,4,"Đường Võ Nguyên Giáp, Quận Sơn Trà, Đà Nẵng"
3,"Cao Ngọc Anh",84C-369.80,"Ford Everest",10,"Cồn mức 1 (<0.25mg/l)",06/01/2026,21:45,4,"Phố Xã Đàn, Quận Đống Đa, Hà Nội"
4,"Đặng Thảo Nguyên",97C-792.13,"VinFast VF 5",3,"Đi sai làn đường",07/01/2026,10:20,2,"Cầu Rồng, Quận Hải Châu, Đà Nẵng"
5,"Đinh Quốc Bảo",43D-999.99,"Wave Alpha",2,"Vượt đèn đỏ (xe máy)",07/01/2026,16:50,4,"Vòng xoay Quách Thị Trang, Quận 1, TP.HCM"
6,"Đinh Thu Trang",86C-581.02,"Future 125",20,"Không đội mũ bảo hiểm",08/01/2026,08:00,0,"Đường Trần Hưng Đạo, TP. Quy Nhơn"
7,"Đỗ Bảo Trân",94C-469.80,"Air Blade",85,"Sử dụng tai nghe khi lái",08/01/2026,14:30,4,"Cầu Nhật Tân, Quận Tây Hồ, Hà Nội"
8,"Đỗ Thanh Phong",43D-669.80,"Yamaha Sirius",18,"Lạng lách trên đường",09/01/2026,22:10,6,"Đường Lê Lợi, TP. Huế"
9,"Hoàng Bảo Ngọc",48C-303.24,"VinFast Klara",100,"Xe điện không biển số",10/01/2026,09:00,0,"Phố đi bộ Hồ Gươm, Quận Hoàn Kiếm, Hà Nội"
10,"Lê Gia Bảo",71C-836.57,"Mazda",79,"Mở cửa xe không an toàn",10/01/2026,11:30,0,"Đường Đồng Khởi, Quận 1, TP.HCM"
11,"Lê Gia Linh",51D-936.57,"Honda Vision",36,"Rẽ không xi-nhan",11/01/2026,17:45,0,"Ngã tư Nguyễn Văn Linh - Nguyễn Hữu Thọ, TP.HCM"
12,"Lê Gia Tuấn",59C-736.57,"Toyota Vios",39,"Đỗ xe nơi có biển cấm",12/01/2026,15:00,0,"Đường Điện Biên Phủ, Quận Hồng Bàng, Hải Phòng"
13,"Lê Hữu Tuấn",61D-536.57,"Exciter 150",83,"Pô độ quá tiếng ồn",12/01/2026,23:20,0,"Đường Nguyễn Văn Cừ, Quận Ninh Kiều, Cần Thơ"
14,"Lê Nhật Anh",63D-436.57,"Winner X",19,"Che khuất biển số",13/01/2026,20:15,6,"Quốc lộ 1A, đoạn qua tỉnh Tiền Giang"
15,"Lê Nhật Nam",65D-236.57,"Suzuki Raider",32,"Bốc đầu xe máy",14/01/2026,16:00,6,"Đại lộ Bình Dương, TP. Thủ Dầu Một"
16,"Lê Phước Thịnh",67D-136.57,"Yamaha Grande",77,"Đi dàn hàng ngang",15/01/2026,08:45,0,"Đường Hùng Vương, TP. Tuy Hòa"
17,"Lê Thanh Bình",71D-036.57,"Honda SH",11,"Cồn mức 1 (xe máy)",15/01/2026,22:00,4,"Đường Thùy Vân, TP. Vũng Tàu"
18,"Lê Thanh Tú",73D-836.57,"Vespa Sprint",74,"Bật đèn pha trong đô thị",16/01/2026,19:30,0,"Đường Quang Trung, Quận Gò Vấp, TP.HCM"
19,"Lê Thị Thu Thảo",75D-636.57,"Honda Lead",37,"Chở hàng cồng kềnh",17/01/2026,10:00,0,"Chợ Đồng Xuân, Quận Hoàn Kiếm, Hà Nội"
20,"Lê Thùy Linh",77D-436.57,"Janus",42,"Không bật đèn sau 19h",18/01/2026,19:15,0,"Đường Trần Phú, TP. Nha Trang"
21,"Lương Gia Bảo",79C-236.57,"Ford Ranger",122,"Chở hàng rơi vãi",19/01/2026,11:00,0,"Cầu Phú Mỹ, TP. Thủ Đức, TP.HCM"
22,"Lý Gia Tuấn",81C-036.57,"Hyundai SantaFe",112,"Đi vào làn ETC sai luật",20/01/2026,09:30,1,"Trạm thu phí Liên Khương, Lâm Đồng"
23,"Mai Gia Bảo",83D-836.57,"Sirius Fi",68,"Xe máy kéo theo xe khác",21/01/2026,14:00,0,"Đường 2/9, Quận Hải Châu, Đà Nẵng"
24,"Ngô Gia Bảo",85C-636.57,"Honda CR-V",53,"Cản trở xe ưu tiên",22/01/2026,08:20,6,"Đường Kim Mã, Quận Ba Đình, Hà Nội"
25,"Nguyễn Anh Tuấn",87D-436.57,"Liberty",80,"Tự ý thay đổi màu sơn",23/01/2026,13:00,0,"Đường Phan Đình Phùng, TP. Đà Lạt"
26,"Nguyễn Bảo Ngọc",89C-236.57,"Kia Morning",35,"Chuyển làn không xi-nhan",24/01/2026,16:40,0,"Đường Phạm Hùng, Quận Nam Từ Liêm, Hà Nội"
27,"Nguyễn Duy Mạnh",91C-036.57,"Toyota Camry",47,"Lùi xe trên cao tốc",25/01/2026,10:15,6,"Cao tốc Hà Nội - Hải Phòng"
28,"Nguyễn Gia Bảo",93D-836.57,"SYM Shark",184,"Chân chống không đúng",26/01/2026,07:50,0,"Đường 3/2, Quận 10, TP.HCM"
